Iteracja;Najlepszy_Koszt
0;104016
1;103426
2;98182
3;95441
4;95441
5;93437
6;91338
7;90862
8;89495
9;84640
10;84640
11;84488
12;80133
13;80133
14;79579
15;79579
16;76163
17;75422
18;75218
19;72710
20;71794
21;71794
22;67956
23;67956
24;66846
25;63174
26;63174
27;62579
28;62406
29;62301
30;62301
31;61892
32;61589
33;59949
34;59507
35;58487
36;58487
37;55911
38;54872
39;54425
40;53635
41;53447
42;53275
43;52079
44;50987
45;50987
46;50624
47;50624
48;47295
49;47295
50;47295
51;47295
52;47295
53;47114
54;45887
55;45887
56;45708
57;45639
58;44280
59;44280
60;43932
61;43932
62;43603
63;43603
64;42859
65;42859
66;41733
67;41733
68;41733
69;40752
70;40319
71;40319
72;40319
73;40173
74;40173
75;39987
76;39987
77;39874
78;39874
79;39874
80;39874
81;39792
82;39686
83;39686
84;38894
85;38894
86;38610
87;38610
88;38524
89;38285
90;38285
91;38285
92;36483
93;36483
94;36483
95;35272
96;35272
97;35272
98;35272
99;35271
100;35271
101;34636
102;34636
103;34636
104;34636
105;34405
106;34405
107;34405
108;34405
109;34367
110;34367
111;34137
112;33836
113;33836
114;33337
115;33120
116;33120
117;33120
118;32899
119;32899
120;32899
121;32873
122;32873
123;32873
124;32684
125;32473
126;32473
127;32445
128;32445
129;32258
130;32258
131;32258
132;32258
133;32186
134;32186
135;32186
136;32186
137;32186
138;32186
139;32186
140;32186
141;32186
142;32186
143;32186
144;32186
145;32186
146;32186
147;32186
148;32186
149;32186
150;32186
151;32186
152;32186
153;32186
154;32186
155;32186
156;32186
157;32186
158;32186
159;32186
160;32186
161;32186
162;32186
163;32186
164;32186
165;32186
166;32186
167;32186
168;32186
169;32186
170;31980
171;31977
172;31977
173;31977
174;31905
175;31905
176;31905
177;31905
178;31385
179;31385
180;31385
181;31385
182;31385
183;31385
184;31385
185;31385
186;31385
187;31385
188;31385
189;31385
190;31385
191;31385
192;31385
193;31385
194;31385
195;31385
196;31207
197;31207
198;31207
199;31207
